repo_name,stars,forks,issues,license_type,num_files,num_python_files
zhayujie/bot-on-anything,3211,784,350,Permissive,57,40
explodinggradients/ragas,1519,126,127,Permissive,97,45
al-one/hass-xiaomi-miot,2268,377,771,Permissive,58,33
xtekky/TikTok-ViewBot,1162,419,143,Permissive,25,12
facebookresearch/segment-anything,38736,4517,483,Permissive,41,17
thomas-yanxin/LangChain-ChatGLM-Webui,2436,370,109,Permissive,25,12
wasserth/TotalSegmentator,908,157,201,Permissive,55,33
graphdeco-inria/gaussian-splatting,7184,705,425,no license file was found,27,24
marella/ctransformers,1280,107,161,Permissive,60,16
icloud-photos-downloader/icloud_photos_downloader,2461,172,106,Permissive,89,43
DAMO-NLP-SG/Video-LLaMA,1802,160,104,Permissive,82,55
KurtBestor/Hitomi-Downloader,10378,895,1486,no license file was found,84,73
kyleskom/NBA-Machine-Learning-Sports-Betting,740,305,187,no license file was found,27,23
gaomingqi/Track-Anything,5306,364,109,Permissive,40,33
kkroening/ffmpeg-python,2413,272,119,Permissive,45,20
kwea123/ngp_pl,1079,148,131,Permissive,40,22
cloneofsimo/lora,5738,432,129,Permissive,25,17
imartinez/privateGPT,41366,5334,706,Permissive,97,67
XPixelGroup/HAT,725,112,106,Permissive,54,16
brentvollebregt/auto-py-to-exe,1537,275,120,Permissive,48,15
bowang-lab/MedSAM,1230,152,150,Permissive,49,38
aminalaee/sqladmin,978,132,137,Permissive,93,37
OFA-Sys/Chinese-CLIP,2879,263,193,Permissive,65,33
openai/chatgpt-retrieval-plugin,18929,3582,185,Permissive,96,45
01-ai/Yi,4561,240,135,Permissive,47,17
triple-Mu/YOLOv8-TensorRT,786,137,122,Permissive,67,20
lifeiteng/vall-e,1486,260,105,Permissive,50,29
isaackogan/TikTokLive,544,116,119,Permissive,69,22
xinntao/Real-ESRGAN,13785,1628,313,Permissive,63,25
aiortc/aiortc,832,174,160,Permissive,96,68
X-PLUG/mPLUG-Owl,1581,128,155,Permissive,77,61
FlareSolverr/FlareSolverr,3067,334,439,Permissive,36,20
megvii-research/PETR,651,107,130,Permissive,97,89
lucidrains/DALLE2-pytorch,10353,1010,188,Permissive,30,19
guoyww/AnimateDiff,5546,429,189,Permissive,52,14
mrlt8/docker-wyze-bridge,1375,102,378,no license file was found,49,25
TencentARC/GFPGAN,14572,2541,206,Permissive,47,26
google-research/multinerf,3291,316,130,Permissive,47,29
WuJunde/MedSegDiff,779,115,128,Permissive,24,21
dsdanielpark/Bard-API,4548,530,148,Permissive,46,28
facebookresearch/nougat,6670,423,145,Permissive,38,31
AlexxIT/SonoffLAN,752,141,403,Permissive,52,28
yihong0618/bilingual_book_maker,6243,758,217,Permissive,46,24
Perfare/Il2CppDumper,2234,450,149,Permissive,69,11
fastai/nbdev,1440,165,446,Permissive,45,28
kohya-ss/sd-scripts,3231,588,514,Permissive,96,76
mail-in-a-box/mailinabox,2022,254,135,Permissive,84,24
microsoft/sample-app-aoai-chatGPT,684,1135,146,Permissive,88,14
tqdm/tqdm,5010,278,116,Permissive,72,61
kevinzg/facebook-scraper,938,228,217,Permissive,21,12
pytube/pytube,3751,898,398,Permissive,51,38
guillaumekln/faster-whisper,5425,440,351,Permissive,17,12
openai/tiktoken,7160,471,148,Permissive,21,15
TimDettmers/bitsandbytes,4064,418,708,Permissive,86,49
neonbjb/tortoise-tts,9607,1224,412,Permissive,41,30
zhouhaoyi/Informer2020,2183,504,250,Permissive,22,13
whitead/paper-qa,3053,296,102,Permissive,19,13
ssbuild/chatglm_finetuning,1419,153,227,no license file was found,36,22
voicepaw/so-vits-svc-fork,6153,868,172,Permissive,86,42
AlexxIT/XiaomiGateway3,772,127,342,no license file was found,81,65
erdewit/ib_insync,728,132,146,Permissive,80,20
projectmesa/mesa,509,163,128,Permissive,87,46
shibing624/MedicalGPT,1822,261,240,Permissive,41,14
marcoslucianops/DeepStream-Yolo,710,199,301,Permissive,92,13
